snum,roi,isSideLeft,roiNum
1,Left-Thalamus-Proper,1,10
2,Left-Caudate,1,11
3,Left-Putamen,1,12
4,Left-Pallidum,1,13
5,Left-Hippocampus,1,17
6,Left-Amygdala,1,18
7,Left-Accumbens-area,1,26
8,Right-Thalamus-Proper,0,49
9,Right-Caudate,0,50
10,Right-Putamen,0,51
11,Right-Pallidum,0,52
12,Right-Hippocampus,0,53
13,Right-Amygdala,0,54
14,Right-Accumbens-area,0,58
15,ctx-lh-lateralorbitofrontal_1,1,1001
16,ctx-lh-lateralorbitofrontal_2,1,1002
17,ctx-lh-lateralorbitofrontal_3,1,1003
18,ctx-lh-lateralorbitofrontal_4,1,1004
19,ctx-lh-parsorbitalis_1,1,1005
20,ctx-lh-frontalpole_1,1,1006
21,ctx-lh-medialorbitofrontal_1,1,1007
22,ctx-lh-medialorbitofrontal_2,1,1008
23,ctx-lh-medialorbitofrontal_3,1,1009
24,ctx-lh-parstriangularis_1,1,1010
25,ctx-lh-parstriangularis_2,1,1011
26,ctx-lh-parsopercularis_1,1,1012
27,ctx-lh-parsopercularis_2,1,1013
28,ctx-lh-rostralmiddlefrontal_1,1,1014
29,ctx-lh-rostralmiddlefrontal_2,1,1015
30,ctx-lh-rostralmiddlefrontal_3,1,1016
31,ctx-lh-rostralmiddlefrontal_4,1,1017
32,ctx-lh-rostralmiddlefrontal_5,1,1018
33,ctx-lh-rostralmiddlefrontal_6,1,1019
34,ctx-lh-superiorfrontal_1,1,1020
35,ctx-lh-superiorfrontal_2,1,1021
36,ctx-lh-superiorfrontal_3,1,1022
37,ctx-lh-superiorfrontal_4,1,1023
38,ctx-lh-superiorfrontal_5,1,1024
39,ctx-lh-superiorfrontal_6,1,1025
40,ctx-lh-superiorfrontal_7,1,1026
41,ctx-lh-superiorfrontal_8,1,1027
42,ctx-lh-caudalmiddlefrontal_1,1,1028
43,ctx-lh-caudalmiddlefrontal_2,1,1029
44,ctx-lh-caudalmiddlefrontal_3,1,1030
45,ctx-lh-precentral_1,1,1031
46,ctx-lh-precentral_2,1,1032
47,ctx-lh-precentral_3,1,1033
48,ctx-lh-precentral_4,1,1034
49,ctx-lh-precentral_5,1,1035
50,ctx-lh-precentral_6,1,1036
51,ctx-lh-paracentral_1,1,1037
52,ctx-lh-paracentral_2,1,1038
53,ctx-lh-paracentral_3,1,1039
54,ctx-lh-rostralanteriorcingulate_1,1,1040
55,ctx-lh-caudalanteriorcingulate_1,1,1041
56,ctx-lh-posteriorcingulate_1,1,1042
57,ctx-lh-posteriorcingulate_2,1,1043
58,ctx-lh-isthmuscingulate_1,1,1044
59,ctx-lh-postcentral_1,1,1045
